"","week.counter","week","week.first","month","season","year","dark.before.12","tmax.f","tmin.f","precip.in","snow.in","school","total","homicide","shooting","rape","robbery.carjacking","robbery.street","robbery.commercial","robbery.residence","aggravated.assault","assault.by.threat","common.assault","burglary","larceny.from.auto","larceny","auto.theft","arson","northwestern","northern","northeastern","western","central","eastern","southwestern","southern","southeastern","homicide.northwestern","homicide.northern","homicide.northeastern","homicide.western","homicide.central","homicide.eastern","homicide.southwestern","homicide.southern","homicide.southeastern","shooting.northwestern","shooting.northern","shooting.northeastern","shooting.western","shooting.central","shooting.eastern","shooting.southwestern","shooting.southern","shooting.southeastern"
"58",67,14,2011-04-04,4,2,11,4.41714285714286,62.8571428571429,43.2242857142857,0.147778107142857,0,0.714285714285714,947,6,11,8,3,49,9,7,110,19,207,145,134,166,65,8,105,84,160,102,112,72,78,124,109,1,0,1,0,2,0,1,1,0,0,0,1,3,1,1,1,4,0
"59",68,15,2011-04-11,4,2,11,4.3,67.7942857142857,49.7171428571429,0.256326821428571,0,0.714285714285714,964,3,11,9,1,51,14,9,95,15,222,146,141,174,69,4,106,90,157,92,121,74,58,141,125,1,0,0,0,0,1,0,0,1,2,0,0,6,0,2,0,0,1
"60",69,16,2011-04-18,4,2,11,4.18285714285714,73.0785714285714,52.2242857142857,0.170320244285714,0,0,926,11,9,11,6,43,9,11,113,11,177,127,166,158,70,4,87,67,156,85,138,73,91,87,142,1,0,1,3,2,1,3,0,0,1,0,2,0,0,3,1,0,2
"61",70,17,2011-04-25,4,2,11,4.06714285714286,77.5785714285714,62.1628571428571,0.0517490528571429,0,0.428571428571429,1021,6,13,7,1,51,7,13,117,21,206,147,144,188,93,7,98,92,176,78,129,98,85,110,155,0,0,0,2,0,1,1,1,1,1,3,0,0,0,8,0,0,1
"62",71,18,2011-05-02,5,2,11,3.95,70.6357142857143,50.0771428571429,0.109532964285714,0,0.714285714285714,920,1,3,2,5,48,6,12,79,11,203,129,124,213,81,3,76,98,149,74,121,60,90,133,119,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",72,19,2011-05-09,5,2,11,3.83857142857143,71.9471428571429,56.3,0.0795836428571429,0,0.714285714285714,1052,2,17,9,3,53,9,14,108,18,210,172,145,228,60,4,105,98,179,71,143,95,87,125,149,0,0,1,0,1,0,0,0,0,1,0,3,2,1,3,3,4,0
"64",73,20,2011-05-16,5,2,11,3.73285714285714,73.8371428571429,60.5685714285714,0.208661,0,0.714285714285714,1038,4,6,16,2,47,13,11,105,16,221,164,137,196,91,9,97,106,178,87,129,72,98,127,144,1,0,0,1,0,0,1,1,0,2,0,1,0,1,1,1,0,0
"65",74,21,2011-05-23,5,2,11,3.63571428571429,85.1,68.2057142857143,0.00674914285714286,0,0.714285714285714,1071,5,11,12,5,60,8,11,133,17,224,190,123,197,73,2,98,101,184,93,136,97,120,122,120,1,0,0,1,0,2,0,1,0,1,1,1,3,0,3,2,0,0
"66",75,22,2011-05-30,5,2,11,3.54857142857143,86.6428571428572,67.4342857142857,0,0,0.571428571428571,1019,5,3,5,4,30,5,18,111,10,239,153,117,222,92,5,92,128,168,61,120,103,78,141,128,1,0,2,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0
"67",76,23,2011-06-06,6,3,11,3.47857142857143,90.08,72.185,0.0765858985714286,0,0.571428571428571,975,4,6,5,4,36,12,13,97,12,185,145,139,206,101,10,81,115,161,77,131,73,77,130,128,1,1,0,1,0,0,1,0,0,0,1,2,0,0,1,2,0,0
"68",77,24,2011-06-13,6,3,11,3.42428571428571,83.4542857142857,67.9485714285714,0.0576489285714286,0,0,1010,4,9,5,5,33,10,6,91,12,183,195,158,191,105,3,109,122,165,64,143,77,99,95,136,0,1,0,1,0,1,1,0,0,0,1,2,0,0,1,5,0,0
"69",78,25,2011-06-20,6,3,11,3.39142857142857,85.6528571428571,70.5714285714286,0.0197749885714286,0,0,1060,2,10,4,6,40,10,16,106,10,184,185,171,202,110,4,94,116,200,78,109,102,109,116,136,0,1,1,0,0,0,0,0,0,1,1,2,2,1,0,2,1,0
"70",79,26,2011-06-27,6,3,11,3.38571428571429,86.7714285714286,69.0671428571429,0.102828815714286,0,0,1102,6,6,6,11,51,7,11,92,11,171,185,176,253,108,8,94,101,207,62,169,102,90,109,168,0,0,2,0,1,0,1,1,1,0,1,1,0,1,1,0,2,0
"71",80,27,2011-07-04,7,3,11,3.41285714285714,90.0757142857143,72.3714285714286,0.169009785714286,0,0,1025,6,8,8,4,55,10,17,111,8,181,158,155,224,75,5,84,100,156,83,133,94,93,125,157,0,0,1,0,2,1,1,0,1,0,0,0,0,3,3,0,2,0
"72",81,28,2011-07-11,7,3,11,3.46142857142857,89.2142857142857,70.7257142857143,0.0567152971428572,0,0,1061,5,7,8,2,50,21,11,103,10,165,178,162,218,115,6,105,102,174,76,132,106,92,127,147,0,0,0,1,0,2,1,1,0,1,3,0,0,0,0,0,3,0
"73",82,29,2011-07-18,7,3,11,3.53428571428571,96.1314285714286,78.5942857142857,0.127345077142857,0,0,1033,2,6,6,2,43,11,17,125,15,181,175,123,202,118,7,96,115,142,91,106,96,89,137,160,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,1
"74",83,30,2011-07-25,7,3,11,3.63285714285714,92.2871428571429,74.6985714285714,0.173036774285714,0,0,1103,10,10,8,8,58,9,9,109,22,210,188,162,204,89,7,96,125,168,105,137,99,118,125,130,0,0,5,0,0,3,2,0,0,0,0,2,0,5,2,0,0,1
"75",84,31,2011-08-01,8,3,11,3.75,87.8514285714286,72.4614285714286,0.23696803,0,0,1062,2,8,9,6,56,11,14,108,21,186,189,131,225,86,10,89,110,176,88,127,92,83,134,163,0,0,1,0,0,1,0,0,0,3,0,2,1,0,0,1,1,0
"76",85,32,2011-08-08,8,3,11,3.88571428571429,85.4085714285714,70.7257142857143,0.273576505714286,0,0,1006,2,6,7,4,63,14,12,106,16,173,199,131,161,104,8,104,111,152,74,130,89,105,123,118,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1
"77",86,33,2011-08-15,8,3,11,4.04142857142857,83.8528571428571,68.2057142857143,0.75539219,0,0,1064,1,7,8,4,62,10,13,111,14,178,215,182,177,78,4,106,110,168,76,133,89,111,110,161,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0
"78",87,34,2011-08-22,8,3,11,4.20285714285714,81.2942857142857,66.9071428571429,0.736308988571429,0,0,1030,7,10,4,3,50,19,8,83,3,181,204,157,200,94,7,114,126,161,73,133,99,70,109,144,1,0,2,0,0,2,1,1,0,5,0,1,1,0,2,1,0,0
