assault_incid_c,unintent_incid_c,suicide_incid_c,undeter_incid_c,legal_incid_c,combined_incid_c,zipcode,year,weekofyr,assault_tot,unintent_tot,suicide_tot,undeter_tot,legal_tot,combined_tot,assault_incid,unintent_incid,suicide_incid,undeter_incid,legal_incid,combined_incid,_chk,zippop_tag
0,0,0,0,0,0,55458,2019,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55458,2020,33,0,0,0,0,0,0,0,0,0,0,0,0,,1
0,0,0,0,0,0,55459,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55459,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55460,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55467,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55470,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2017,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2018,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2019,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55472,2020,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55473,2016,33,,,,,,,,,,,,,,1
0,0,0,0,0,0,55473,2017,33,,,,,,,,,,,,,,1
